prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RADAR-NEXT20-015,Andesa Services Inc.,Lehigh County,consulting,andesa-services-inc,,,https://andesaservices.com/,FAIL,ran,hold,hold,10,419,12
RADAR-NEXT20-007,Devon Veterinary Hospital,Chester County,veterinary,devon-veterinary-hospital,,,https://www.devonvet.com/,FAIL,ran,hold,hold,10,430,13
RADAR-NEXT20-017,"Dittmer & Company, P.C.",Chester County,accountant,dittmer-and-company-p-c,,,https://www.dittmerco.com/,FAIL,ran,hold,hold,10,439,13
RADAR-NEXT20-012,Fellini Cafe,Montgomery County,restaurant,fellini-cafe,,,https://www.fellinicafebrynmawr.com/,FAIL,ran,hold,hold,10,419,13
RADAR-NEXT20-016,Finesse Flooring,Montgomery County,flooring,finesse-flooring,,,https://www.finesseflooringinc.com/,FAIL,ran,hold,hold,10,412,13
RADAR-NEXT20-005,Forte Salon,Lehigh County,hairdresser,forte-salon,,,https://forte-salon.com/,FAIL,ran,hold,hold,10,415,13
RADAR-NEXT20-004,Hi Pot,Montgomery County,restaurant,hi-pot,,,https://www.newhipot.com/,FAIL,ran,hold,hold,10,411,13
RADAR-NEXT20-019,High Swartz,Montgomery County,lawyer,high-swartz,,,https://highswartz.com/,FAIL,ran,hold,hold,10,416,13
RADAR-NEXT20-014,Hope's Cookies,Montgomery County,confectionery,hope-s-cookies,,,https://www.hopescookies.com/store,FAIL,ran,hold,hold,10,426,13
RADAR-NEXT20-011,Main Street Cafe,Montgomery County,restaurant,main-street-cafe,,,https://breakfastnorristown.com/,FAIL,ran,hold,hold,10,429,13
RADAR-NEXT20-018,Mankind's HeadQuarters,Delaware County,hairdresser,mankind-s-headquarters,,,https://mankindsheadquarters.com/,FAIL,ran,hold,hold,10,409,13
RADAR-NEXT20-002,"marvin e. kanze, inc.",Delaware County,hvac,marvin-e-kanze-inc,,,https://www.marvinekanze.com/,FAIL,ran,hold,hold,10,429,13
RADAR-NEXT20-008,McSurdy Orthodontics: The Smile Specialists,Montgomery County,dentist,mcsurdy-orthodontics-the-smile-specialists,,,https://drmcsurdy.com/,FAIL,ran,hold,hold,10,440,12
RADAR-NEXT20-001,Meetinghouse Dental Care,Montgomery County,dentist,meetinghouse-dental-care,,,https://www.meetinghousedental.com/,FAIL,ran,hold,hold,10,427,13
RADAR-NEXT20-010,Patt Veterinary Hospital,Montgomery County,veterinary,patt-veterinary-hospital,,,https://pattvet.com/,FAIL,ran,hold,hold,10,424,13
RADAR-NEXT20-009,Penn Animal Hospital,Chester County,veterinary,penn-animal-hospital,,,https://www.pennanimal.com/,FAIL,ran,hold,hold,10,432,13
RADAR-NEXT20-006,Philly AIDS Thrift @ Giovanni's Room,Philadelphia,books,philly-aids-thrift-giovanni-s-room,,,https://queerbooks.com/,FAIL,ran,hold,hold,10,425,13
RADAR-NEXT20-013,The Pullman Restaurant and Bar,Montgomery County,restaurant,the-pullman-restaurant-and-bar,,,https://thepullmanrestaurant.com/,FAIL,ran,hold,hold,10,456,13
RADAR-NEXT20-003,Wagner Group @ COMPASS,Delaware County,estate-agent,wagner-group-compass,,,https://wagnerrealestate.com/,FAIL,ran,hold,hold,10,432,13
RADAR-NEXT20-020,Yudizza Spa,Philadelphia,beauty,yudizza-spa,,,https://yudizzamedspa.com/,FAIL,ran,hold,hold,10,409,13
