priority_score,business_name,website,vertical,city,area,has_phone,site_quality,band,verdict,trend,last_graded,next_recheck,worst_fault
58,"Boyle Energy - Heating, Air Conditioning, Oil & Propane",https://boylebrothersenergy.com/,hvac,Havertown,Delaware County,true,49,decayed,rebuild,new,2026-08-06,2026-09-20,only 10 words on the homepage
58,Accurate Temperature,https://accuratetemperatures.com/,hvac,Bensalem,Bucks County,true,45,decayed,rebuild,new,2026-08-06,2026-09-20,only 8 words on the homepage
58,Euphoria Nail Bar,https://euphorianailbar.com/,beauty,,Philadelphia,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
58,Frederick W. Oster Fine Violins,https://www.osterviolins.com/,musical-instrument,Philadelphia,Philadelphia,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
58,Narberth Pizza,https://www.narberthpizza.com/,restaurant,Narberth,Montgomery County,true,34,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
58,Al Tacos Locos,https://altacoslocos.com/,restaurant,Jenkintown,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
58,Ming's Chinese,https://mings-restaurant.com/,restaurant,Hatboro,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
58,Peking Gourmet,http://pekinggourmetpottstown.com/,restaurant,Pottstown,Montgomery County,true,36,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
58,Ember & Ale,https://emberandale.com/,restaurant,Collegeville,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
57,Epam,https://www.epam.com/,it,Philadelphia,Philadelphia,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
55,Smile Culture Dental,https://smileculture.com/huntingdon-valley/,dentist,Huntingdon Valley,Montgomery County,true,55,dated,rebuild,new,2026-08-06,2026-09-20,hard-coded 1240px page width
55,Ooka Hibachi and Sushi,http://ookasushi.com/phone/willow-grove.html,restaurant,Willow Grove,Montgomery County,true,40,decayed,rebuild,new,2026-08-06,2026-09-20,"no HTTPS — browsers mark it ""Not secure"""
53,McMenamin & Margiotti,https://buxmontlaw.com/,lawyer,Colmar,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,THR Insurance Agency,http://www.thrinsurance.com/,insurance,Lansdale,Montgomery County,true,43,decayed,rebuild,new,2026-08-06,2026-09-20,"no HTTPS — browsers mark it ""Not secure"""
53,Be Balanced Hormone Weight Loss Centers,https://bebalancedcenters.com/location/collegeville/,alternative,Collegeville,Montgomery County,true,32,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Plastic Surgery Solutions,https://plasticsurgerysolutions.com/,doctor,Sanatoga,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Custom IT Solutions,https://customitsolutions.com/,it,Lower Salford Township,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,WJA Landscaping,https://www.wjalandscaping.com/,gardener,Collegeville,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Live Urgent Care,https://liveurgentcare.com/locations/kingofprussia/,clinic,King of Prussia,Montgomery County,true,32,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
