prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
PHL001,Always Dental Care,"Philadelphia, PA",Health,always-dental-care,https://phl-2026-w34.netlify.app/sites/always-dental-care/,https://phl-2026-w34.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL001,https://www.alwaysdentalcare.com/,PASS,ran,ready,hold,10,491,13
PHL002,Auger Manufacturing Specialists,"Philadelphia, PA",Industrial,auger-manufacturing,https://phl-2026-w34.netlify.app/sites/auger-manufacturing/,https://phl-2026-w34.netlify.app/sites/auger-manufacturing/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL002,http://augermfgspec.com/,PASS,ran,ready,hold,10,422,13
PHL003,Barnes Financial Group,"Philadelphia, PA",Professional Services,barnes-financial-group,https://phl-2026-w34.netlify.app/sites/barnes-financial-group/,https://phl-2026-w34.netlify.app/sites/barnes-financial-group/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL003,http://www.barnesfinancial.com/,PASS,ran,hold,hold,10,440,13
PHL004,Be Balanced Hormone Weight Loss Centers,"Philadelphia, PA",Health,be-balanced-hormone,https://phl-2026-w34.netlify.app/sites/be-balanced-hormone/,https://phl-2026-w34.netlify.app/sites/be-balanced-hormone/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL004,https://bebalancedcenters.com/location/collegeville/,PASS,ran,ready,hold,10,486,13
PHL005,BG Electric Service LLC,"Philadelphia, PA",Home Services,bg-electric,https://phl-2026-w34.netlify.app/sites/bg-electric/,https://phl-2026-w34.netlify.app/sites/bg-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL005,https://www.bgelectricservicellc.com/,PASS,ran,hold,hold,10,476,13
PHL006,BPM Fitness,"Philadelphia, PA",Spas & Wellness,bpm-fitness,https://phl-2026-w34.netlify.app/sites/bpm-fitness/,https://phl-2026-w34.netlify.app/sites/bpm-fitness/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL006,https://bpmfitnessphl.com/,PASS,ran,hold,hold,10,440,13
PHL007,Chestnut Hill Animal Hospital,"Philadelphia, PA",Health,chestnut-hill-animal-hospital,https://phl-2026-w34.netlify.app/sites/chestnut-hill-animal-hospital/,https://phl-2026-w34.netlify.app/sites/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL007,http://chestnuthillvet.com/,PASS,ran,ready,hold,10,442,13
PHL008,Colmar Dentistry For Kids,"Philadelphia, PA",Health,colmar-dentistry-for-kids,https://phl-2026-w34.netlify.app/sites/colmar-dentistry-for-kids/,https://phl-2026-w34.netlify.app/sites/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL008,https://www.colmarkids.com/,PASS,ran,ready,hold,10,481,13
PHL009,County Line Veterinary Hospital,"Philadelphia, PA",Health,county-line-veterinary-hospital,https://phl-2026-w34.netlify.app/sites/county-line-veterinary-hospital/,https://phl-2026-w34.netlify.app/sites/county-line-veterinary-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL009,https://countylineveterinary.com/,PASS,ran,ready,hold,10,468,13
PHL010,DreamMaker Bath & Kitchen,"Philadelphia, PA",Home Services,dreammaker-bath-kitchen,https://phl-2026-w34.netlify.app/sites/dreammaker-bath-kitchen/,https://phl-2026-w34.netlify.app/sites/dreammaker-bath-kitchen/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL010,https://www.dreammaker-remodel.com/chester-county/,PASS,ran,hold,hold,10,480,13
PHL011,Easy Auto Tag & Insurance,"Philadelphia, PA",Professional Services,easy-auto-tag-insurance,https://phl-2026-w34.netlify.app/sites/easy-auto-tag-insurance/,https://phl-2026-w34.netlify.app/sites/easy-auto-tag-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL011,http://www.easyautotag.com/,PASS,ran,hold,hold,10,480,13
PHL012,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck","Philadelphia, PA",Legal,eisenberg-rothweiler,https://phl-2026-w34.netlify.app/sites/eisenberg-rothweiler/,https://phl-2026-w34.netlify.app/sites/eisenberg-rothweiler/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL012,https://www.erlegal.com/,PASS,ran,ready,hold,10,478,13
PHL013,Fillman & Sons Floors & More,"Philadelphia, PA",Home Services,fillman-and-sons-floors,https://phl-2026-w34.netlify.app/sites/fillman-and-sons-floors/,https://phl-2026-w34.netlify.app/sites/fillman-and-sons-floors/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL013,http://www.fillmanandsons.com/,PASS,ran,hold,hold,10,474,13
PHL014,Glen Eagle Pediatric Dentistry,"Philadelphia, PA",Health,glen-eagle-pediatric-dentistry,https://phl-2026-w34.netlify.app/sites/glen-eagle-pediatric-dentistry/,https://phl-2026-w34.netlify.app/sites/glen-eagle-pediatric-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL014,https://gleneaglepediatricdentistry.com/,PASS,ran,ready,hold,10,469,13
