Platform,Campaign,Ad_Set,Name,Number,Email,Business,Website_other,prospect_id,qr_target_url,qa_ready,mail_ready,address,notes
Direct Mail,jesse-238,Business,,,,Boyle Energy,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-propane/,J238-029,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/boyle-energy-heating-air-conditioning-oil-propane/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-029,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,BPM Fitness,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bpm-fitness/,J238-030,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bpm-fitness/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-030,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Electrical,,,,"Brandon Electric, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandon-electric-inc/,J238-031,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/brandon-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-031,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Brandywine Auto Parts,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandywine-auto-parts/,J238-032,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/brandywine-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-032,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Medical & Healthcare,,,,Bridesburg Spine and Injury Clinic,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bridesburg-spine-and-injury-clinic/,J238-033,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bridesburg-spine-and-injury-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-033,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,"Bryn Mawr Plumbing & Heating Co., Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bryn-mawr-plumbing-heating-co-inc/,J238-034,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bryn-mawr-plumbing-heating-co-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-034,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Home Services,,,,"Bustleton Services, Inc",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bustleton-services/,J238-035,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bustleton-services/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-035,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,C&C Super Seal,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-and-c-super-seal/,J238-036,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/c-and-c-super-seal/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-036,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Captain Car Wash,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/captain-car-wash/,J238-037,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-037,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Mechanical / HVAC / plumbing,,,,Centrum Mechanical Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/centrum-mechanical-services/,J238-038,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/centrum-mechanical-services/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-038,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Chadds Ford Animal Hospital,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chadds-ford-animal-hospital/,J238-039,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chadds-ford-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-039,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Metal spinning / forming,,,,Charles Schillinger Company,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/charles-schillinger-company/,J238-040,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/charles-schillinger-company/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-040,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Chestnut Hill Animal Hospital,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chestnut-hill-animal-hospital/,J238-041,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-041,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,"Choice Coating, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/choice-coating-inc/,J238-042,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/choice-coating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-042,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
