prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RADAR-NEXT20-015,A W Miller Technical Sales,Butler County,hardware,a-w-miller-technical-sales,,,https://awmiller.com/,FAIL,ran,hold,hold,10,436,13
RADAR-NEXT20-003,api Autobody Products,McKean County,car-parts,api-autobody-products,,,https://www.apiauto.com/,FAIL,ran,hold,hold,10,407,13
RADAR-NEXT20-002,Avalon Flooring,Montgomery County,flooring,avalon-flooring,,,https://www.avalonflooring.com/a/store-locator/king-of-prussia-pa.html,FAIL,ran,hold,hold,10,431,13
RADAR-NEXT20-007,Bedford Carpet One Floor & Home,Bedford County,flooring,bedford-carpet-one-floor-and-home,,,https://www.bedfordcarpetonebedford.com/,FAIL,ran,hold,hold,10,449,13
RADAR-NEXT20-012,China Moon,Montgomery County,restaurant,china-moon,,,https://www.chinamoonboyertown.com/,FAIL,ran,hold,hold,10,404,13
RADAR-NEXT20-019,Compass Financial Solutions - Financial planner,Delaware County,financial,compass-financial-solutions-financial-planner,,,https://compassfinancialsolutionsinc.com/,FAIL,ran,hold,hold,10,454,13
RADAR-NEXT20-008,Dental Wellness,Chester County,dentist,dental-wellness,,,https://padentalwellness.com/,FAIL,ran,hold,hold,10,397,13
RADAR-NEXT20-014,Friendly Tax Advisors,Philadelphia,tax-advisor,friendly-tax-advisors,,,https://www.ftaphiladelphia.com/,FAIL,ran,hold,hold,10,426,13
RADAR-NEXT20-016,JB Motor Works,Philadelphia,car-repair,jb-motor-works,,,https://www.jbmotorwork.com/,FAIL,ran,hold,hold,10,423,13
RADAR-NEXT20-013,JL Alliance Group,Montgomery County,insurance,jl-alliance-group,,,https://jlalliancegroup.com/,FAIL,ran,hold,hold,10,431,13
RADAR-NEXT20-018,John Holroyd Agency,Bucks County,insurance,john-holroyd-agency,,,https://www.jphagency.com/,FAIL,ran,hold,hold,10,426,13
RADAR-NEXT20-009,Jonathan Stone D.M.D,Delaware County,dentist,jonathan-stone-d-m-d,,,https://drstonedentistry.com/,FAIL,ran,hold,hold,10,422,13
RADAR-NEXT20-010,Keyes Water Wells,Chester County,construction-company,keyes-water-wells,,,https://keyesinc.com/,FAIL,ran,hold,hold,10,424,13
RADAR-NEXT20-006,Mazzoni Center,Philadelphia,clinic,mazzoni-center,,,https://www.mazzonicenter.org/,FAIL,ran,hold,hold,10,406,13
RADAR-NEXT20-020,Panitch Schwarze Belisario & Nadel,Philadelphia,lawyer,panitch-schwarze-belisario-and-nadel,,,https://www.panitchlaw.com/,FAIL,ran,hold,hold,10,437,13
RADAR-NEXT20-011,Positano Ristorante,Montgomery County,restaurant,positano-ristorante,,,https://www.positanoristorante.com/,FAIL,ran,hold,hold,10,409,13
RADAR-NEXT20-001,Rambo Orthodontics,Montgomery County,doctor,rambo-orthodontics,,,https://rambo-ortho.com/,FAIL,ran,hold,hold,10,413,13
RADAR-NEXT20-017,"Rubin, Glickman, Steinberg & Gifford, P.C.",Bucks County,lawyer,rubin-glickman-steinberg-and-gifford-p-c,,,https://www.rgsglaw.com/bucks-county/,FAIL,ran,hold,hold,10,446,13
RADAR-NEXT20-004,The Sprowls Insurance Group,Westmoreland County,insurance,the-sprowls-insurance-group,,,https://sprowlsinsurance.com/,FAIL,ran,hold,hold,10,441,13
RADAR-NEXT20-005,Veekoo,Montgomery County,restaurant,veekoo,,,https://veekoorestaurants.com/,FAIL,ran,hold,hold,10,412,13
