prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
PHL001,Accurate Temperature,"Philadelphia, PA",home-services,accurate-temperature,https://phl-2026-w36.netlify.app/sites/accurate-temperature/,https://phl-2026-w36.netlify.app/sites/accurate-temperature/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL001,https://accuratetemperatures.com/,PASS,ran,ready,hold,10,597,13
PHL002,Always Dental Care,"Philadelphia, PA",healthcare,always-dental-care,https://phl-2026-w36.netlify.app/sites/always-dental-care/,https://phl-2026-w36.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL002,https://www.alwaysdentalcare.com/,PASS,ran,ready,hold,10,676,13
PHL003,Andorra Family Dentistry,"Philadelphia, PA",healthcare,andorra-family-dentistry,https://phl-2026-w36.netlify.app/sites/andorra-family-dentistry/,https://phl-2026-w36.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL003,https://www.andorradental.com/,PASS,ran,ready,hold,10,700,13
PHL004,August Moon,"Philadelphia, PA",food,august-moon,https://phl-2026-w36.netlify.app/sites/august-moon/,https://phl-2026-w36.netlify.app/sites/august-moon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL004,https://augustmoonpa.com/,PASS,ran,ready,hold,10,685,13
PHL005,Bar 31,"Philadelphia, PA",nightlife,bar-31,https://phl-2026-w36.netlify.app/sites/bar-31/,https://phl-2026-w36.netlify.app/sites/bar-31/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL005,https://www.bar31.net/,PASS,ran,ready,hold,10,623,13
PHL006,Bei Jing Chinese Food,"Philadelphia, PA",food,beijing-chinese-food,https://phl-2026-w36.netlify.app/sites/beijing-chinese-food/,https://phl-2026-w36.netlify.app/sites/beijing-chinese-food/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL006,https://www.beijingchinesefoodpa.com/,PASS,ran,ready,hold,10,617,13
PHL007,Belle Palace Nail Spa,"Philadelphia, PA",beauty,belle-palace-nail-spa,https://phl-2026-w36.netlify.app/sites/belle-palace-nail-spa/,https://phl-2026-w36.netlify.app/sites/belle-palace-nail-spa/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL007,https://bellepalacewarrington.com/,PASS,ran,ready,hold,10,636,13
PHL008,Dutton Road Veterinary Clinic,"Philadelphia, PA",veterinary,dutton-road-vet,https://phl-2026-w36.netlify.app/sites/dutton-road-vet/,https://phl-2026-w36.netlify.app/sites/dutton-road-vet/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL008,https://duttonroadvetclinic.com/,PASS,ran,ready,hold,10,716,13
PHL009,Eastern Dragon,"Philadelphia, PA",food,eastern-dragon,https://phl-2026-w36.netlify.app/sites/eastern-dragon/,https://phl-2026-w36.netlify.app/sites/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL009,http://www.easterndragonfood.com/,PASS,ran,ready,hold,10,654,13
PHL010,First Class Auto Land,"Philadelphia, PA",auto,first-class-auto-land,https://phl-2026-w36.netlify.app/sites/first-class-auto-land/,https://phl-2026-w36.netlify.app/sites/first-class-auto-land/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL010,https://www.firstclassautoland.com/,PASS,ran,ready,hold,10,628,13
PHL011,Francis Kaufman House,"Philadelphia, PA",food,francis-kaufman-house,https://phl-2026-w36.netlify.app/sites/francis-kaufman-house/,https://phl-2026-w36.netlify.app/sites/francis-kaufman-house/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL011,http://franciskaufmanhouse.com/,PASS,ran,ready,hold,10,610,13
PHL012,Gallo Insurance Agency,"Philadelphia, PA",insurance,gallo-insurance,https://phl-2026-w36.netlify.app/sites/gallo-insurance/,https://phl-2026-w36.netlify.app/sites/gallo-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL012,https://www.erieinsurance.com/agencies/aa8210/gallo-insurance-agency,PASS,ran,ready,hold,10,632,13
