prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RADAR-NEXT20-018,8 Cylinders Auto Repair Philadelphia,Philadelphia,car-repair,8-cylinders-auto-repair-philadelphia,,,https://8cylindersautorepair.com/,FAIL,ran,hold,hold,10,438,13
RADAR-NEXT20-001,Anthony & Sylvan Pool Supplies,Bucks County,swimming-pool,anthony-and-sylvan-pool-supplies,,,https://anthonysylvan.com/locations/doylestown-pa/,FAIL,ran,hold,hold,10,443,12
RADAR-NEXT20-014,Chester County Carpet & Flooring,Delaware County,floorer,chester-county-carpet-and-flooring,,,https://chestercountycarpetandflooring.com/,FAIL,ran,hold,hold,10,447,13
RADAR-NEXT20-008,Impriano Roofing & Siding,Delaware County,roofer,impriano-roofing-and-siding,,,https://www.impriano.com/,FAIL,ran,hold,hold,10,429,13
RADAR-NEXT20-004,Infratek Solutions Inc,Bucks County,engineer,infratek-solutions-inc,,,https://infrateksolutions.com/mainsite/,FAIL,ran,hold,hold,10,426,13
RADAR-NEXT20-017,Kauffman Metals,Bedford County,metal-construction,kauffman-metals,,,https://kauffmanmetals.com/,FAIL,ran,hold,hold,10,429,12
RADAR-NEXT20-006,KC's Alley,Montgomery County,pub,kc-s-alley,,,https://kc-alley.com/,FAIL,ran,hold,hold,10,423,13
RADAR-NEXT20-010,Mondo Contract Flooring,Chester County,flooring,mondo-contract-flooring,,,https://mondocontractflooring.com/,FAIL,ran,hold,hold,10,420,13
RADAR-NEXT20-011,"National Real Estate Development, LLC",Philadelphia,estate-agent,national-real-estate-development-llc,,,https://natrealestatedevelopment.com/,FAIL,ran,hold,hold,10,444,12
RADAR-NEXT20-002,Nemours Childrens Health,Chester County,doctor,nemours-childrens-health,,,https://www.nemours.org/locations/pennsylvania-primary-care-pediatrician-paoli.html,FAIL,ran,hold,hold,10,403,12
RADAR-NEXT20-012,Oaks Nail Spa,Montgomery County,beauty,oaks-nail-spa,,,https://oaksnailsspaphoenixville.com/,FAIL,ran,hold,hold,10,406,13
RADAR-NEXT20-013,Occasions Boutique,Chester County,clothes,occasions-boutique,,,https://www.occasions-boutique.com/,FAIL,ran,hold,hold,10,422,13
RADAR-NEXT20-003,Passion Day Spa,Bucks County,massage,passion-day-spa,,,https://passiondayspallc.com/,FAIL,ran,hold,hold,10,418,13
RADAR-NEXT20-005,Polka Dots,Chester County,clothes,polka-dots,,,https://shopatpolkadots.com/,FAIL,ran,hold,hold,10,411,13
RADAR-NEXT20-009,Providence Spa & Nails,Montgomery County,beauty,providence-spa-and-nails,,,https://mainlinenails.com/providence-spa-nails,FAIL,ran,hold,hold,10,411,12
RADAR-NEXT20-007,Suburban AutoWorks,Bucks County,car-repair,suburban-autoworks,,,https://suburbanautoworks.com/,FAIL,ran,hold,hold,10,410,13
RADAR-NEXT20-019,Temple Health Northeastern Campus,Philadelphia,clinic,temple-health-northeastern-campus,,,https://www.templehealth.org/locations/northeastern-campus-tuh,FAIL,ran,hold,hold,10,428,12
RADAR-NEXT20-015,The Salon Professional Academy Collegeville,Montgomery County,hairdresser,the-salon-professional-academy-collegeville,,,https://www.tspacollegeville.com/,FAIL,ran,hold,hold,10,444,12
RADAR-NEXT20-020,VP Nails,Montgomery County,beauty,vp-nails,,,https://vpnailspapottstown.com/,FAIL,ran,hold,hold,10,417,13
RADAR-NEXT20-016,"Zommick McMahon Commercial Real Estate, Inc.",Chester County,estate-agent,zommick-mcmahon-commercial-real-estate-inc,,,https://zmcre.com/,FAIL,ran,hold,hold,10,457,13
