prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
PHL001,Advance Exterior Solutions,"Philadelphia, PA",roofing,advance-exterior,https://phl-2026-w35.netlify.app/sites/advance-exterior/,https://phl-2026-w35.netlify.app/sites/advance-exterior/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL001,https://advanceexteriorsolutions.com/,PASS,ran,ready,hold,10,439,13
PHL002,Al Tacos Locos,"Philadelphia, PA",restaurant,al-tacos-locos,https://phl-2026-w35.netlify.app/sites/al-tacos-locos/,https://phl-2026-w35.netlify.app/sites/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL002,https://altacoslocos.com/,PASS,ran,ready,hold,10,409,13
PHL003,Bala Financial Group,"Philadelphia, PA",financial,bala-financial,https://phl-2026-w35.netlify.app/sites/bala-financial/,https://phl-2026-w35.netlify.app/sites/bala-financial/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL003,https://www.balafinancial.com/,PASS,ran,ready,hold,10,420,13
PHL004,Balance Studios,"Philadelphia, PA",fitness-centre,balance-studios,https://phl-2026-w35.netlify.app/sites/balance-studios/,https://phl-2026-w35.netlify.app/sites/balance-studios/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL004,https://www.balancestudios.net/,PASS,ran,ready,hold,10,468,13
PHL005,Boyle Energy,"Philadelphia, PA",hvac,boyle-energy,https://phl-2026-w35.netlify.app/sites/boyle-energy/,https://phl-2026-w35.netlify.app/sites/boyle-energy/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL005,https://boylebrothersenergy.com/,PASS,ran,ready,hold,10,418,13
PHL006,Brandywine Auto Parts,"Philadelphia, PA",car-parts,brandywine-auto-parts,https://phl-2026-w35.netlify.app/sites/brandywine-auto-parts/,https://phl-2026-w35.netlify.app/sites/brandywine-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL006,http://www.brandywine-ap.com/,PASS,ran,ready,hold,10,381,13
PHL007,Caise Benefits,"Philadelphia, PA",insurance,caise-benefits,https://phl-2026-w35.netlify.app/sites/caise-benefits/,https://phl-2026-w35.netlify.app/sites/caise-benefits/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL007,https://caisebenefits.com/,PASS,ran,ready,hold,10,391,13
PHL008,Captain Car Wash,"Philadelphia, PA",car-wash,captain-car-wash,https://phl-2026-w35.netlify.app/sites/captain-car-wash/,https://phl-2026-w35.netlify.app/sites/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL008,https://captaincarwashpa.com/,PASS,ran,ready,hold,10,474,13
PHL009,Custom IT Solutions,"Philadelphia, PA",it,custom-it-solutions,https://phl-2026-w35.netlify.app/sites/custom-it-solutions/,https://phl-2026-w35.netlify.app/sites/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL009,https://customitsolutions.com/,PASS,ran,ready,hold,10,475,13
PHL010,Dirt Work Solutions,"Philadelphia, PA",excavation,dirt-work-solutions,https://phl-2026-w35.netlify.app/sites/dirt-work-solutions/,https://phl-2026-w35.netlify.app/sites/dirt-work-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL010,https://www.dirtworksolutions.com/,PASS,ran,ready,hold,10,399,13
PHL011,Ember & Ale,"Philadelphia, PA",restaurant,ember-and-ale,https://phl-2026-w35.netlify.app/sites/ember-and-ale/,https://phl-2026-w35.netlify.app/sites/ember-and-ale/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL011,https://emberandale.com/,PASS,ran,ready,hold,10,464,13
PHL012,Euphoria Nail Bar,"Philadelphia, PA",beauty,euphoria-nail-bar,https://phl-2026-w35.netlify.app/sites/euphoria-nail-bar/,https://phl-2026-w35.netlify.app/sites/euphoria-nail-bar/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL012,https://euphorianailbar.com/,PASS,ran,ready,hold,10,410,13
